"키워드","월간 검색량 (Total)","블로그 누적 발행량","철자 유사도"
"전기자전거샵","80","15616","3"
"국내자전거","130","355001","3"
"충전 자전거","200","188223","3"
"일산 공유자전거","240","6500","3"
"제주도 공유자전거","260","14755","3"
"노펑크 자전거","290","1510","3"
"대구 공유자전거","290","15389","3"
"배달용 자전거","460","5640","3"
"경기도 공유자전거","520","17388","3"
"모터자전거","570","108730","3"
"인천 공유자전거","590","20059","3"
"고양시 공유자전거","600","4031","3"
"수원 공유자전거","640","9415","3"
"천안 공유자전거","670","4741","3"
"부산 공유자전거","670","22194","3"
"anm 자전거","760","1237","3"
"배달 자전거","1140","162185","3"
"4발 자전거","1420","4055","3"
"삼륜 자전거","2850","9717","3"
"전기 자전거","312600","192746","3"
