"키워드","월간 검색량 (Total)","블로그 누적 발행량","철자 유사도"
"전동킥보드 나이","2470","5773","3"
"전동킥보드 매장","3280","24552","3"
"듀얼전동킥보드","3450","9519","3"
"전동킥보드 렌탈","3620","6430","3"
"전동킥보드 타는법","3630","45875","3"
"전동킥보드수리","3880","26756","3"
"글로버 킥보드","4280","1968","3"
"레드윙 전동 킥보드","4670","1249","3"
"전동킥보드 추천","4910","33983","3"
"어린이 킥보드","5210","78179","3"
"성인 킥보드","5240","18664","3"
"나노휠 전동킥보드","5860","3687","3"
"전동 보드","6200","244142","3"
"전기 킥보드","7680","31522","3"
"전동킥보드 사고","8210","36794","3"
"전동킥보드 대여","10490","20177","3"
"두발 킥보드","12960","9290","3"
"전동킥보드 헬멧","13590","14757","3"
"전동킥보드 면허","27710","15379","3"
"킥보드","43330","335147","3"
