"키워드","월간 검색량 (Total)","블로그 누적 발행량","철자 유사도"
"퍼스널모빌리티 쇼","60","862","3"
"스마트 모빌리티","2280","94705","3"
"전동 오토바이","5100","64393","1"
"성인 킥보드","5240","18664","1"
"여자 스쿠터 추천","6150","34780","1"
"전기스쿠터 보조금","6890","4947","1"
"전기 킥보드","7680","31535","1"
"전동차","8580","237566","1"
"전기오토바이 보조금","9150","7441","1"
"두발 킥보드","12960","9282","1"
"전기 바이크","12970","101479","1"
"전기자전거 추천","15440","40097","1"
"전동 휠체어","16000","68759","1"
"모빌리티","16750","276919","3"
"킥보드","43330","335147","1"
"스쿠터","50700","536775","1"
"전동 스쿠터","61510","87355","1"
"전기 스쿠터","73230","82641","1"
"전동 킥보드","174100","100036","1"
"전기 자전거","312600","192746","1"
